,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
43883,FFSU,XX,591,3776,5,20134,ATORVASTAT,6600,218,2818.66,2766.82,51.84
43887,FFSU,XX,591,3776,19,20134,ATORVASTAT,47226,1489,22570.64,21907.43,663.21
171225,MCOU,XX,591,3776,5,20134,ATORVASTAT,34766.985,1154,36825.91,36561.97,263.94
171229,MCOU,XX,591,3776,19,20134,ATORVASTAT,175408.02,5765,170182.3,169352.72,829.58
43883,FFSU,XX,591,3776,5,20134,ATORVASTAT,6600,218,2818.66,2766.82,51.84
43887,FFSU,XX,591,3776,19,20134,ATORVASTAT,47226,1489,22570.64,21907.43,663.21
171225,MCOU,XX,591,3776,5,20134,ATORVASTAT,34766.985,1154,36825.91,36561.97,263.94
171229,MCOU,XX,591,3776,19,20134,ATORVASTAT,175408.02,5765,170182.3,169352.72,829.58
43883,FFSU,XX,591,3776,5,20134,ATORVASTAT,6600,218,2818.66,2766.82,51.84
43887,FFSU,XX,591,3776,19,20134,ATORVASTAT,47226,1489,22570.64,21907.43,663.21
171225,MCOU,XX,591,3776,5,20134,ATORVASTAT,34766.985,1154,36825.91,36561.97,263.94
171229,MCOU,XX,591,3776,19,20134,ATORVASTAT,175408.02,5765,170182.3,169352.72,829.58
43891,FFSU,XX,591,3777,5,20134,ATORVASTAT,3028,102,1886.3,1718.6,167.7
43895,FFSU,XX,591,3777,19,20134,ATORVASTAT,27616,859,14308.5,13875.29,433.21
171233,MCOU,XX,591,3777,5,20134,ATORVASTAT,13150,442,14822.93,14808.93,14
171237,MCOU,XX,591,3777,19,20134,ATORVASTAT,86962.882,2892,90759.32,90360.91,398.41
43891,FFSU,XX,591,3777,5,20134,ATORVASTAT,3028,102,1886.3,1718.6,167.7
43895,FFSU,XX,591,3777,19,20134,ATORVASTAT,27616,859,14308.5,13875.29,433.21
171233,MCOU,XX,591,3777,5,20134,ATORVASTAT,13150,442,14822.93,14808.93,14
171237,MCOU,XX,591,3777,19,20134,ATORVASTAT,86962.882,2892,90759.32,90360.91,398.41
43891,FFSU,XX,591,3777,5,20134,ATORVASTAT,3028,102,1886.3,1718.6,167.7
43895,FFSU,XX,591,3777,19,20134,ATORVASTAT,27616,859,14308.5,13875.29,433.21
171233,MCOU,XX,591,3777,5,20134,ATORVASTAT,13150,442,14822.93,14808.93,14
171237,MCOU,XX,591,3777,19,20134,ATORVASTAT,86962.882,2892,90759.32,90360.91,398.41
43891,FFSU,XX,591,3777,5,20134,ATORVASTAT,3028,102,1886.3,1718.6,167.7
