,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
136248,MCOU,XX,71,158,73,20134,LIPITOR TA,30,1,6.6,3.3,3.3
136252,MCOU,XX,71,158,92,20134,LIPITOR 80,5,5,10.95,10.95,0
8809,FFSU,XX,71,158,23,20134,LIPITOR 80,46365.5,1368,316016.13,314537.8,1478.33
8813,FFSU,XX,71,158,73,20134,LIPITOR TA,240,5,1695.44,1695.44,0
8818,FFSU,XX,71,158,92,20134,LIPITOR 80,4,4,52.24,52.24,0
136245,MCOU,XX,71,158,23,20134,LIPITOR 80,3424,123,19494.78,18354.38,1140.4
136248,MCOU,XX,71,158,73,20134,LIPITOR TA,30,1,6.6,3.3,3.3
136252,MCOU,XX,71,158,92,20134,LIPITOR 80,5,5,10.95,10.95,0
98114,FFSU,XX,59762,155,1,20134,ATORVASTAT,173441,5146,64668.37,61126.95,3541.42
98118,FFSU,XX,59762,155,2,20134,ATORVASTAT,89385.5,2816,36276.67,34880.85,1395.82
224776,MCOU,XX,59762,155,1,20134,ATORVASTAT,240107,7872,138217.31,136476.39,1740.92
224780,MCOU,XX,59762,155,2,20134,ATORVASTAT,177643,5952,115192.39,114622.95,569.44
98114,FFSU,XX,59762,155,1,20134,ATORVASTAT,173441,5146,64668.37,61126.95,3541.42
98118,FFSU,XX,59762,155,2,20134,ATORVASTAT,89385.5,2816,36276.67,34880.85,1395.82
224776,MCOU,XX,59762,155,1,20134,ATORVASTAT,240107,7872,138217.31,136476.39,1740.92
224780,MCOU,XX,59762,155,2,20134,ATORVASTAT,177643,5952,115192.39,114622.95,569.44
98122,FFSU,XX,59762,156,1,20134,ATORVASTAT,260890,7751,122018.61,116579.39,5439.22
98126,FFSU,XX,59762,156,2,20134,ATORVASTAT,137481,4214,68627.01,66858.94,1768.07
224784,MCOU,XX,59762,156,1,20134,ATORVASTAT,366298.06,12158,279843.54,277633.39,2210.15
224788,MCOU,XX,59762,156,2,20134,ATORVASTAT,267310,8882,238523.41,237855.83,667.58
98122,FFSU,XX,59762,156,1,20134,ATORVASTAT,260890,7751,122018.61,116579.39,5439.22
98126,FFSU,XX,59762,156,2,20134,ATORVASTAT,137481,4214,68627.01,66858.94,1768.07
224784,MCOU,XX,59762,156,1,20134,ATORVASTAT,366298.06,12158,279843.54,277633.39,2210.15
224788,MCOU,XX,59762,156,2,20134,ATORVASTAT,267310,8882,238523.41,237855.83,667.58
98130,FFSU,XX,59762,157,1,20134,ATORVASTAT,212389,6305,98285.75,94365.64,3920.11
98134,FFSU,XX,59762,157,2,20134,ATORVASTAT,109842,3286,54917.07,52761.78,2155.29
224792,MCOU,XX,59762,157,1,20134,ATORVASTAT,340945,11478,257549.39,256177.92,1371.47
224796,MCOU,XX,59762,157,2,20134,ATORVASTAT,221566.97,7428,200991.65,200280.4,711.25
98130,FFSU,XX,59762,157,1,20134,ATORVASTAT,212389,6305,98285.75,94365.64,3920.11
98134,FFSU,XX,59762,157,2,20134,ATORVASTAT,109842,3286,54917.07,52761.78,2155.29
224792,MCOU,XX,59762,157,1,20134,ATORVASTAT,340945,11478,257549.39,256177.92,1371.47
224796,MCOU,XX,59762,157,2,20134,ATORVASTAT,221566.97,7428,200991.65,200280.4,711.25
98138,FFSU,XX,59762,158,1,20134,ATORVASTAT,96702,2827,47532.97,45643.23,1889.74
98142,FFSU,XX,59762,158,2,20134,ATORVASTAT,29160,877,15528.74,15290.63,238.11
224800,MCOU,XX,59762,158,1,20134,ATORVASTAT,160872,5639,126348.35,125465.47,882.88
224804,MCOU,XX,59762,158,2,20134,ATORVASTAT,52317,1806,45897.06,45748.64,148.42
98138,FFSU,XX,59762,158,1,20134,ATORVASTAT,96702,2827,47532.97,45643.23,1889.74
98142,FFSU,XX,59762,158,2,20134,ATORVASTAT,29160,877,15528.74,15290.63,238.11
224800,MCOU,XX,59762,158,1,20134,ATORVASTAT,160872,5639,126348.35,125465.47,882.88
224804,MCOU,XX,59762,158,2,20134,ATORVASTAT,52317,1806,45897.06,45748.64,148.42
