,,,,,,,,,,,,,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Atorvastat,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor,Lipitor
,,,,,,,,,,,,,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20111,20112,20113,20114,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20121,20122,20123,20124,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134,20131,20132,20133,20134
,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU,FFSU,FFSU,FFSU,FFSU,MCOU,MCOU,MCOU,MCOU
170576,MCOU,XX,591,3777,19,20124,ATORVASTAT,338539,11640,414762,412790.76,1971.24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
103068,FFSU,XX,60505,2578,8,20123,ATORVASTAT,1723,57,1773.8,1708.31,65.49,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103069,FFSU,XX,60505,2578,8,20124,ATORVASTAT,13858,445,10198.22,9640.2,558.02,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103070,FFSU,XX,60505,2578,9,20122,ATORVASTAT,7956,253,10091.06,9452.46,638.6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103071,FFSU,XX,60505,2578,9,20123,ATORVASTAT,216703,7126,235259.26,223557.19,11702.07,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103072,FFSU,XX,60505,2578,9,20124,ATORVASTAT,393413,12845,287097.77,274469.88,12627.89,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224509,MCOU,XX,60505,2578,8,20123,ATORVASTAT,4110,137,1761.86,1761.86,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224510,MCOU,XX,60505,2578,8,20124,ATORVASTAT,20487,690,11626.53,11604.53,22,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
224511,MCOU,XX,60505,2578,9,20122,ATORVASTAT,13521,446,18448.83,18385.83,63,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
224512,MCOU,XX,60505,2578,9,20123,ATORVASTAT,148579,5047,146135.1,145178.53,956.57,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224513,MCOU,XX,60505,2578,9,20124,ATORVASTAT,316424.91,10548,243397.86,241978.32,1419.54,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
103073,FFSU,XX,60505,2579,8,20123,ATORVASTAT,1583,49,1031.29,775.14,256.15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103074,FFSU,XX,60505,2579,8,20124,ATORVASTAT,27091,867,25758.83,24023.1,1735.73,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103075,FFSU,XX,60505,2579,9,20122,ATORVASTAT,15877,523,27723.41,26291.91,1431.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103076,FFSU,XX,60505,2579,9,20123,ATORVASTAT,355833,11839,543846.09,522319.58,21526.51,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103077,FFSU,XX,60505,2579,9,20124,ATORVASTAT,582333,19083,564860.47,543328.35,21532.12,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224514,MCOU,XX,60505,2579,8,20123,ATORVASTAT,5425,182,3512.11,3512.11,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224515,MCOU,XX,60505,2579,8,20124,ATORVASTAT,30816,1039,27246.85,27156.18,90.67,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
224516,MCOU,XX,60505,2579,9,20122,ATORVASTAT,24405,819,45460.57,45321.62,138.95,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
224517,MCOU,XX,60505,2579,9,20123,ATORVASTAT,240024,8150,344147.26,342528.98,1618.28,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224518,MCOU,XX,60505,2579,9,20124,ATORVASTAT,490167.91,16392,536376.57,534351.39,2025.18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
103078,FFSU,XX,60505,2580,8,20123,ATORVASTAT,1499,49,1062.54,978.54,84,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103079,FFSU,XX,60505,2580,8,20124,ATORVASTAT,27144,876,27304.53,25683.47,1621.06,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103080,FFSU,XX,60505,2580,9,20122,ATORVASTAT,14405,460,22249.92,20930.26,1319.66,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103081,FFSU,XX,60505,2580,9,20123,ATORVASTAT,314113.08,10363,438466.09,418702.88,19763.21,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103082,FFSU,XX,60505,2580,9,20124,ATORVASTAT,541456,17737,502464.06,480779.11,21684.95,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224519,MCOU,XX,60505,2580,8,20123,ATORVASTAT,4740,159,2204.61,2201.61,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224520,MCOU,XX,60505,2580,8,20124,ATORVASTAT,30420,1015,26366.52,25929.06,437.46,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
224521,MCOU,XX,60505,2580,9,20122,ATORVASTAT,24956,830,47307.15,47095.5,211.65,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
224522,MCOU,XX,60505,2580,9,20123,ATORVASTAT,265265,9101,380950.75,378672.38,2278.37,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224523,MCOU,XX,60505,2580,9,20124,ATORVASTAT,499542,16775,545166.23,541980.68,3185.55,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
103388,FFSU,XX,60505,2671,8,20123,ATORVASTAT,480,17,836.85,821.85,15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103389,FFSU,XX,60505,2671,8,20124,ATORVASTAT,5102,174,5487.09,5119.57,367.52,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103390,FFSU,XX,60505,2671,9,20122,ATORVASTAT,5881,202,9405.35,8769.66,635.69,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103391,FFSU,XX,60505,2671,9,20123,ATORVASTAT,141438.875,4814,188744.02,179722.43,9021.59,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103392,FFSU,XX,60505,2671,9,20124,ATORVASTAT,226433.75,7662,228655.04,219249.89,9405.15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224834,MCOU,XX,60505,2671,8,20123,ATORVASTAT,526,18,670.19,670.19,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224835,MCOU,XX,60505,2671,8,20124,ATORVASTAT,3743,124,4220.36,4190.36,30,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
224836,MCOU,XX,60505,2671,9,20122,ATORVASTAT,9612,334,19922.36,19848.41,73.95,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
224837,MCOU,XX,60505,2671,9,20123,ATORVASTAT,109551,3835,151531.1,150502.25,1028.85,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
224838,MCOU,XX,60505,2671,9,20124,ATORVASTAT,185691,6461,195175.13,193983.3,1191.83,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
93821,FFSU,XX,55111,121,5,20123,ATORVASTAT,360,12,168.85,164.85,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93822,FFSU,XX,55111,121,5,20124,ATORVASTAT,5336,175,3738.73,3609.43,129.3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93823,FFSU,XX,55111,121,90,20123,ATORVASTAT,836,17,1905.02,1903.02,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93824,FFSU,XX,55111,121,90,20124,ATORVASTAT,217903,6439,204263.4,197325.9,6937.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215628,MCOU,XX,55111,121,5,20123,ATORVASTAT,750,25,593.97,593.97,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215629,MCOU,XX,55111,121,5,20124,ATORVASTAT,4485,146,3749.23,3737.23,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
215630,MCOU,XX,55111,121,90,20123,ATORVASTAT,1152,39,997.56,996.56,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215631,MCOU,XX,55111,121,90,20124,ATORVASTAT,130884.94,4234,134911.85,134361.3,550.55,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
93825,FFSU,XX,55111,122,5,20123,ATORVASTAT,301,10,284.18,281.18,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93826,FFSU,XX,55111,122,5,20124,ATORVASTAT,9100.5,290,8790.77,8467.14,323.63,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93827,FFSU,XX,55111,122,90,20123,ATORVASTAT,1052,28,3199.82,3196.82,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93828,FFSU,XX,55111,122,90,20124,ATORVASTAT,354486,10521,442828,430199.46,12628.54,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215632,MCOU,XX,55111,122,5,20123,ATORVASTAT,1140,38,1433.05,1433.05,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215633,MCOU,XX,55111,122,5,20124,ATORVASTAT,9471,312,11362.19,11358.19,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
215634,MCOU,XX,55111,122,90,20123,ATORVASTAT,1928,62,2282.57,2254.57,28,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215635,MCOU,XX,55111,122,90,20124,ATORVASTAT,200805.91,6478,275974.19,274862.17,1112.02,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
93829,FFSU,XX,55111,123,5,20123,ATORVASTAT,150,5,86.68,86.68,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93830,FFSU,XX,55111,123,5,20124,ATORVASTAT,5708,176,5333.12,5240.92,92.2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93831,FFSU,XX,55111,123,90,20123,ATORVASTAT,240,6,160.66,159.66,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93832,FFSU,XX,55111,123,90,20124,ATORVASTAT,317465,9441,340205.55,328004.14,12201.41,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215636,MCOU,XX,55111,123,5,20123,ATORVASTAT,390,13,555.02,555.02,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215637,MCOU,XX,55111,123,5,20124,ATORVASTAT,8285.97,271,10368,10333.5,34.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
215638,MCOU,XX,55111,123,90,20123,ATORVASTAT,286,10,420.88,415.88,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215639,MCOU,XX,55111,123,90,20124,ATORVASTAT,217136,7109,303320.69,302304.01,1016.68,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
93833,FFSU,XX,55111,124,5,20123,ATORVASTAT,90,3,57.14,57.14,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93834,FFSU,XX,55111,124,5,20124,ATORVASTAT,1118,38,914.67,889.67,25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93835,FFSU,XX,55111,124,90,20123,ATORVASTAT,255,7,466.21,462.21,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93836,FFSU,XX,55111,124,90,20124,ATORVASTAT,133595,3938,161507.68,157600.58,3907.1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215640,MCOU,XX,55111,124,5,20123,ATORVASTAT,150,5,174.85,174.85,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215641,MCOU,XX,55111,124,5,20124,ATORVASTAT,1131,40,1272.44,1269.44,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
215642,MCOU,XX,55111,124,90,20123,ATORVASTAT,619,19,1008.39,1004.39,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
215643,MCOU,XX,55111,124,90,20124,ATORVASTAT,99925,3232,145408.99,144758.71,650.28,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
85187,FFSU,XX,51079,409,1,20124,ATORVASTAT,60,2,22.84,22.84,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85188,FFSU,XX,51079,409,20,20123,ATORVASTAT,30,1,7.66,7.66,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85189,FFSU,XX,51079,409,20,20124,ATORVASTAT,333,12,129.14,125.14,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208200,MCOU,XX,51079,409,20,20123,ATORVASTAT,30,1,10.23,10.23,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
208201,MCOU,XX,51079,409,20,20124,ATORVASTAT,300,10,86.04,86.04,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
85190,FFSU,XX,51079,410,1,20124,ATORVASTAT,95,4,64.22,64.22,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85191,FFSU,XX,51079,410,20,20124,ATORVASTAT,402,16,215.96,208.35,7.61,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208202,MCOU,XX,51079,410,20,20123,ATORVASTAT,30,1,14.6,14.6,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
208203,MCOU,XX,51079,410,20,20124,ATORVASTAT,540,15,196.26,192.61,3.65,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
85192,FFSU,XX,51079,411,1,20124,ATORVASTAT,26,1,17.58,17.58,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85193,FFSU,XX,51079,411,20,20123,ATORVASTAT,30,1,15.6,12.6,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85194,FFSU,XX,51079,411,20,20124,ATORVASTAT,599,21,305.89,301.89,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208204,MCOU,XX,51079,411,20,20123,ATORVASTAT,180,6,74.29,74.29,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
208205,MCOU,XX,51079,411,20,20124,ATORVASTAT,480,13,200.51,199.51,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
85195,FFSU,XX,51079,412,3,20124,ATORVASTAT,151,6,107.44,99.24,8.2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208206,MCOU,XX,51079,412,3,20124,ATORVASTAT,105,4,48.81,47.81,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
57960,FFSU,XX,904,6290,61,20123,ATORVASTAT,292.5,11,195.54,194.54,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57961,FFSU,XX,904,6290,61,20124,ATORVASTAT,369,14,278.79,276.79,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182948,MCOU,XX,904,6290,61,20123,ATORVASTAT,210,7,227.82,222.82,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
182949,MCOU,XX,904,6290,61,20124,ATORVASTAT,365,14,342.87,342.87,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
57962,FFSU,XX,904,6291,61,20122,ATORVASTAT,30,1,15.69,15.69,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57963,FFSU,XX,904,6291,61,20123,ATORVASTAT,663,25,456.58,451.58,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57964,FFSU,XX,904,6291,61,20124,ATORVASTAT,1251,39,948.57,936.57,12,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182950,MCOU,XX,904,6291,61,20122,ATORVASTAT,90,3,89.8,89.8,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
182951,MCOU,XX,904,6291,61,20123,ATORVASTAT,210,7,194.31,193.31,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
182952,MCOU,XX,904,6291,61,20124,ATORVASTAT,552,19,585.4,584.4,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
109151,FFSU,XX,63304,827,5,20122,ATORVASTAT,1320,40,3509,3508,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109152,FFSU,XX,63304,827,5,20123,ATORVASTAT,6270,187,9308.53,9208.76,99.77,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109153,FFSU,XX,63304,827,5,20124,ATORVASTAT,9913,279,9597.38,9458.33,139.05,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109154,FFSU,XX,63304,827,90,20121,ATORVASTAT,238131.1,7585,721441.87,694320.83,27121.04,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109155,FFSU,XX,63304,827,90,20122,ATORVASTAT,325959,10370,919348.27,888055.38,31292.89,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109156,FFSU,XX,63304,827,90,20123,ATORVASTAT,392659,11956,520774.23,506439.41,14334.82,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109157,FFSU,XX,63304,827,90,20124,ATORVASTAT,366808,11266,337031.39,327219.1,9812.29,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230411,MCOU,XX,63304,827,5,20121,ATORVASTAT,600,20,1833.06,1833.06,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
230412,MCOU,XX,63304,827,5,20122,ATORVASTAT,3390,113,8763.02,8762.02,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
230413,MCOU,XX,63304,827,5,20123,ATORVASTAT,7650,255,6989.42,6985.42,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
230414,MCOU,XX,63304,827,5,20124,ATORVASTAT,13861,451,13095.61,13072.28,23.33,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
230415,MCOU,XX,63304,827,90,20121,ATORVASTAT,644679.961,21048,1832543.52,1827476.37,5067.15,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
230416,MCOU,XX,63304,827,90,20122,ATORVASTAT,788155.001,26617,2072350.26,2014052.29,58297.97,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
230417,MCOU,XX,63304,827,90,20123,ATORVASTAT,680458.001,22700,687028.69,683117.25,3911.44,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
230418,MCOU,XX,63304,827,90,20124,ATORVASTAT,562009.971,18591,467275.38,465497.1,1778.28,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
109158,FFSU,XX,63304,828,5,20122,ATORVASTAT,836,26,3277.19,3277.19,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109159,FFSU,XX,63304,828,5,20123,ATORVASTAT,11099,326,24273.2,24129.49,143.71,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109160,FFSU,XX,63304,828,5,20124,ATORVASTAT,15546,464,19171.27,18973.4,197.87,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109161,FFSU,XX,63304,828,90,20121,ATORVASTAT,350381,12435,1701273.79,1659702.09,41571.7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109162,FFSU,XX,63304,828,90,20122,ATORVASTAT,448579,14202,1767657.27,1720986.86,46670.41,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109163,FFSU,XX,63304,828,90,20123,ATORVASTAT,542727,16739,933459.17,912390.37,21068.8,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109164,FFSU,XX,63304,828,90,20124,ATORVASTAT,496319.5,15298,561585.89,548125.08,13460.81,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230419,MCOU,XX,63304,828,5,20121,ATORVASTAT,480,16,2228.18,2228.18,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
230420,MCOU,XX,63304,828,5,20122,ATORVASTAT,3958,132,15070.22,15070.22,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
230421,MCOU,XX,63304,828,5,20123,ATORVASTAT,14535,485,19153.48,19145.46,8.02,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
230422,MCOU,XX,63304,828,5,20124,ATORVASTAT,24199,801,32042.02,32039.02,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
230423,MCOU,XX,63304,828,90,20121,ATORVASTAT,818319.349,26972,3315102.54,3308320.65,6781.89,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
230424,MCOU,XX,63304,828,90,20122,ATORVASTAT,1056246,35654,3865405.96,3778750.72,86655.24,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
230425,MCOU,XX,63304,828,90,20123,ATORVASTAT,947444,31708,1416242.99,1411263.58,4979.41,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
230426,MCOU,XX,63304,828,90,20124,ATORVASTAT,742693,24620,876391.55,872665.31,3726.24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
109165,FFSU,XX,63304,829,5,20121,ATORVASTAT,60,2,261.5,261.5,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109166,FFSU,XX,63304,829,5,20122,ATORVASTAT,1024,33,4148.48,4148.48,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109167,FFSU,XX,63304,829,5,20123,ATORVASTAT,9016,269,18002.68,17919.27,83.41,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109168,FFSU,XX,63304,829,5,20124,ATORVASTAT,15648,460,18055.92,17828.51,227.41,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109169,FFSU,XX,63304,829,90,20121,ATORVASTAT,410328.101,13042,1772657.38,1732324.86,40332.52,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109170,FFSU,XX,63304,829,90,20122,ATORVASTAT,439416.001,13923,1733666.69,1694567.46,39099.23,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
